,volume,notional_value
IDEA30,41241075.0,330203778.75
IDEA28,23658225.0,165218036.25
MOTHERSON28,4095900.0,410964525.0
SUZLON28,3536000.0,228935600.0
CANBK28,3408750.0,397455187.5
GAIL28,3332700.0,630890820.0
IRB28,2720275.0,127263337.5
GMRAIRPORT28,2420325.0,222870780.0
YESBANK28,2083700.0,43675285.0
PNB28,2048000.0,221360000.0
NMDC28,1998000.0,156900375.0
FEDERALBNK28,1905000.0,413160500.0
TATASTEEL28,1892000.0,313121600.0
YESBANK30,1679400.0,35934495.0
IRFC28,1530000.0,211895012.5
IOC28,1438125.0,203841543.75
IDFCFIRSTB28,1344875.0,99988673.75
ABFRL28,1110200.0,90482210.0
UNIONBANK28,977925.0,135907458.75
SAIL28,916500.0,124746460.0
